Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Iniciar,,,,2023-05-18 15:10:07,2023-05-18 15:11:49,"1m - 42,160s",FAILED
,,,,,,,
Test Cases/Abrir_App/CPN1,,,,2023-05-18 15:10:07,2023-05-18 15:11:31,"1m - 23,561s",PASSED
"startApplication(""C:\Users\Testing\Desktop\katalon\Version nueva\app-debug (2).apk"", true)",,,,2023-05-18 15:10:07,2023-05-18 15:10:43,"35,593s",PASSED
pressBack(),,,,2023-05-18 15:10:43,2023-05-18 15:10:44,"0,508s",PASSED
"toggleWifi(""OFF"", STOP_ON_FAILURE)",,,,2023-05-18 15:10:44,2023-05-18 15:10:45,"1,083s",PASSED
"startApplication(""C:\Users\Testing\Desktop\katalon\Version nueva\app-debug (2).apk"", true)",,,,2023-05-18 15:10:45,2023-05-18 15:11:29,"43,977s",PASSED
delay(2),,,,2023-05-18 15:11:29,2023-05-18 15:11:31,"2,047s",PASSED
,,,,,,,
Test Cases/CPNTUTORIAL/CPNTUTORIAL,,,,2023-05-18 15:11:31,2023-05-18 15:11:42,"11,770s",PASSED
"verifyElementText(findTestObject(""Object Repository/CPNTUTORIAL/android.widget.FrameLayout (1)""), """")",,,,2023-05-18 15:11:31,2023-05-18 15:11:32,"1,200s",PASSED
"tap(findTestObject(""Object Repository/CPNTUTORIAL/android.widget.TextView - Omitir""), 0)",,,,2023-05-18 15:11:32,2023-05-18 15:11:33,"0,456s",PASSED
pressBack(),,,,2023-05-18 15:11:33,2023-05-18 15:11:34,"1,174s",PASSED
"toggleWifi(""ON"", STOP_ON_FAILURE)",,,,2023-05-18 15:11:34,2023-05-18 15:11:35,"0,848s",PASSED
"tap(findTestObject(""Object Repository/CPNTUTORIAL/android.widget.TextView - Siguiente""), 0)",,,,2023-05-18 15:11:35,2023-05-18 15:11:35,"0,478s",PASSED
"verifyElementText(findTestObject(""CPNTUTORIAL/android.widget.FrameLayout""), """")",,,,2023-05-18 15:11:35,2023-05-18 15:11:36,"0,763s",PASSED
"tap(findTestObject(""Object Repository/CPNTUTORIAL/android.widget.TextView - Siguiente (1)""), 0)",,,,2023-05-18 15:11:36,2023-05-18 15:11:36,"0,416s",PASSED
"verifyElementText(findTestObject(""CPNTUTORIAL/android.widget.FrameLayout""), """")",,,,2023-05-18 15:11:36,2023-05-18 15:11:37,"1,025s",PASSED
"tap(findTestObject(""CPNTUTORIAL/android.widget.TextView - Siguiente (1)""), 0)",,,,2023-05-18 15:11:37,2023-05-18 15:11:39,"1,275s",PASSED
"tap(findTestObject(""CPNTUTORIAL/android.widget.TextView - Siguiente (1)""), 0)",,,,2023-05-18 15:11:39,2023-05-18 15:11:40,"1,764s",PASSED
"verifyElementText(findTestObject(""CPNTUTORIAL/android.widget.FrameLayout""), """")",,,,2023-05-18 15:11:40,2023-05-18 15:11:41,"0,310s",PASSED
"tap(findTestObject(""CPNTUTORIAL/android.widget.TextView - Siguiente (1)""), 0)",,,,2023-05-18 15:11:41,2023-05-18 15:11:41,"0,435s",PASSED
"verifyElementText(findTestObject(""CPNTUTORIAL/android.widget.FrameLayout""), """")",,,,2023-05-18 15:11:41,2023-05-18 15:11:42,"0,896s",PASSED
"tap(findTestObject(""Object Repository/CPNTUTORIAL/android.widget.TextView - Empezar""), 0)",,,,2023-05-18 15:11:42,2023-05-18 15:11:42,"0,482s",PASSED
,,,,,,,
Test Cases/CPN2,,,,2023-05-18 15:11:42,2023-05-18 15:11:49,"6,273s",PASSED
"toggleWifi(""OFF"", STOP_ON_FAILURE)",,,,2023-05-18 15:11:43,2023-05-18 15:11:44,"1,139s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/CPN2/android.widget.FrameLayout (1)""), 0)",,,,2023-05-18 15:11:44,2023-05-18 15:11:45,"0,979s",PASSED
closeApplication(),,,,2023-05-18 15:11:45,2023-05-18 15:11:49,"3,907s",PASSED
,,,,,,,
Test Cases/CPN3,,,,2023-05-18 15:11:49,2023-05-18 15:11:49,"0,268s",FAILED
pressHome(),,,,2023-05-18 15:11:49,2023-05-18 15:11:49,"0,034s",PASSED
