Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
prueba,,,,2023-05-23 15:27:11,2023-05-23 15:29:06,"1m - 54,958s",FAILED
,,,,,,,
Test Cases/ingreso,,,,2023-05-23 15:27:11,2023-05-23 15:28:19,"1m - 8,218s",PASSED
"startApplication(""C:\Users\Testing\Desktop\katalon\Version nueva\app-debug (2).apk"", true)",,,,2023-05-23 15:27:11,2023-05-23 15:27:46,"34,293s",PASSED
"tap(findTestObject(""Object Repository/ingreso/android.widget.TextView - Omitir""), 0)",,,,2023-05-23 15:27:46,2023-05-23 15:27:47,"1,288s",PASSED
"tap(findTestObject(""Object Repository/ingreso/android.widget.Button - Crear Cuenta""), 0)",,,,2023-05-23 15:27:47,2023-05-23 15:27:48,"1,296s",PASSED
"tap(findTestObject(""Object Repository/ingreso/android.widget.Button - Enviar cdigo de registro""), 0)",,,,2023-05-23 15:27:48,2023-05-23 15:27:50,"1,913s",PASSED
"tap(findTestObject(""Object Repository/ingreso/android.widget.Button - Continuar""), 0)",,,,2023-05-23 15:27:50,2023-05-23 15:27:57,"6,597s",PASSED
"setText(findTestObject(""Object Repository/ingreso/android.widget.EditText - Apodo""), ""libre02"", 0)",,,,2023-05-23 15:27:57,2023-05-23 15:28:01,"4,683s",PASSED
"tap(findTestObject(""Object Repository/ingreso/android.widget.Button - Siguiente""), 0)",,,,2023-05-23 15:28:01,2023-05-23 15:28:03,"1,443s",PASSED
"setText(findTestObject(""Object Repository/ingreso/android.widget.EditText - Pin de Acceso""), ""0000"", 0)",,,,2023-05-23 15:28:03,2023-05-23 15:28:16,"13,035s",PASSED
"setText(findTestObject(""Object Repository/ingreso/android.widget.EditText - Confirmar nuevo pin de acceso""), ""0000"", 0)",,,,2023-05-23 15:28:16,2023-05-23 15:28:18,"2,472s",PASSED
"tap(findTestObject(""Object Repository/ingreso/android.widget.Button - Crear Cuenta (1)""), 0)",,,,2023-05-23 15:28:18,2023-05-23 15:28:19,"0,869s",PASSED
,,,,,,,
Test Cases/agregar,,,,2023-05-23 15:28:19,2023-05-23 15:29:04,"44,971s",PASSED
"tap(findTestObject(""Object Repository/agregar/android.widget.ImageView""), 0)",,,,2023-05-23 15:28:19,2023-05-23 15:28:23,"3,282s",PASSED
"tap(findTestObject(""Object Repository/agregar/android.widget.Button - Agregar contactos""), 0)",,,,2023-05-23 15:28:23,2023-05-23 15:28:24,"1,215s",PASSED
"setText(findTestObject(""Object Repository/agregar/android.widget.EditText - Busca por apodo""), ""prueba2134"", 0)",,,,2023-05-23 15:28:24,2023-05-23 15:28:27,"3,517s",PASSED
"tap(findTestObject(""Object Repository/agregar/android.widget.Button - AGREGAR""), 0)",,,,2023-05-23 15:28:27,2023-05-23 15:28:30,"2,110s",PASSED
"tap(findTestObject(""Object Repository/agregar/android.widget.TextView""), 0)",,,,2023-05-23 15:28:30,2023-05-23 15:28:31,"1,663s",PASSED
delay(5),,,,2023-05-23 15:28:31,2023-05-23 15:28:36,"5,045s",PASSED
"tap(findTestObject(""Object Repository/agregar/android.widget.ImageView""), 0)",,,,2023-05-23 15:28:36,2023-05-23 15:29:04,"27,911s",PASSED
,,,,,,,
Test Cases/Mensaje,,,,2023-05-23 15:29:04,2023-05-23 15:29:06,"1,511s",FAILED
"tapAndHold(findTestObject(""""), 0, 0)",,,,2023-05-23 15:29:04,2023-05-23 15:29:06,"1,296s",FAILED
