Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Crear_usuario,,,,2023-05-24 16:37:18,2023-05-24 16:41:42,"4m - 23,958s",FAILED
,,,,,,,
Test Cases/Abrir_App/CPN1,,,,2023-05-24 16:37:18,2023-05-24 16:37:50,"32,083s",PASSED
"startApplication(""C:\Users\Testing\Desktop\katalon\Version nueva\app-debug (2).apk"", true)",,,,2023-05-24 16:37:18,2023-05-24 16:37:46,"27,286s",PASSED
pressBack(),,,,2023-05-24 16:37:46,2023-05-24 16:37:47,"0,950s",PASSED
"toggleWifi(""OFF"", STOP_ON_FAILURE)",,,,2023-05-24 16:37:47,2023-05-24 16:37:48,"1,298s",PASSED
"tap(findTestObject(""Object Repository/Abrir_App/CPN1/android.widget.TextView - NapoleoN""), 0)",,,,2023-05-24 16:37:48,2023-05-24 16:37:49,"1,158s",PASSED
delay(1),,,,2023-05-24 16:37:49,2023-05-24 16:37:50,"1,057s",PASSED
,,,,,,,
Test Cases/Abrir_App/CPN2,,,,2023-05-24 16:37:50,2023-05-24 16:37:53,"2,805s",PASSED
"toggleWifi(""OFF"", STOP_ON_FAILURE)",,,,2023-05-24 16:37:50,2023-05-24 16:37:51,"0,811s",PASSED
"verifyElementVisible(findTestObject(""Abrir_App/CPN2/android.widget.FrameLayout""), 0)",,,,2023-05-24 16:37:51,2023-05-24 16:37:52,"0,501s",PASSED
pressBack(),,,,2023-05-24 16:37:52,2023-05-24 16:37:52,"0,719s",PASSED
pressBack(),,,,2023-05-24 16:37:52,2023-05-24 16:37:53,"0,526s",PASSED
,,,,,,,
Test Cases/Abrir_App/CPN3,,,,2023-05-24 16:37:53,2023-05-24 16:38:12,"19,624s",PASSED
"toggleWifi(""ON"", STOP_ON_FAILURE)",,,,2023-05-24 16:37:53,2023-05-24 16:37:54,"1,301s",PASSED
delay(4),,,,2023-05-24 16:37:54,2023-05-24 16:37:58,"4,019s",PASSED
"toggleWifi(""OFF"", STOP_ON_FAILURE)",,,,2023-05-24 16:37:58,2023-05-24 16:38:00,"1,350s",PASSED
"tap(findTestObject(""Object Repository/Abrir_App/CPN3/android.widget.TextView - NapoleoN""), 0)",,,,2023-05-24 16:38:00,2023-05-24 16:38:00,"0,589s",PASSED
pressBack(),,,,2023-05-24 16:38:00,2023-05-24 16:38:02,"1,311s",PASSED
"tap(findTestObject(""Object Repository/Abrir_App/CPN3/android.widget.TextView - NapoleoN""), 0)",,,,2023-05-24 16:38:02,2023-05-24 16:38:03,"0,958s",PASSED
"tap(findTestObject(""Object Repository/Abrir_App/CPN3/android.widget.TextView - Omitir""), 0)",,,,2023-05-24 16:38:03,2023-05-24 16:38:04,"0,991s",PASSED
"tap(findTestObject(""Abrir_App/CPN3/android.widget.Button - Crear Cuenta""), 0)",,,,2023-05-24 16:38:04,2023-05-24 16:38:05,"1,041s",PASSED
"tap(findTestObject(""Object Repository/Abrir_App/CPN3/android.widget.Button - Enviar cdigo de registro""), 0)",,,,2023-05-24 16:38:05,2023-05-24 16:38:06,"1,337s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Abrir_App/CPN3/android.widget.FrameLayout""), 0)",,,,2023-05-24 16:38:06,2023-05-24 16:38:08,"1,746s",PASSED
"tap(findTestObject(""Object Repository/Abrir_App/CPN3/android.widget.Button - OK""), 0)",,,,2023-05-24 16:38:08,2023-05-24 16:38:08,"0,488s",PASSED
"toggleWifi(""ON"", STOP_ON_FAILURE)",,,,2023-05-24 16:38:08,2023-05-24 16:38:09,"1,272s",PASSED
delay(3),,,,2023-05-24 16:38:09,2023-05-24 16:38:12,"3,015s",PASSED
,,,,,,,
Test Cases/INICIA_SESION_APODO_INEXISTENTE3.1/CPN21,,,,2023-05-24 16:38:12,2023-05-24 16:38:38,"25,081s",PASSED
"tap(findTestObject(""Object Repository/INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.ImageButton""), 0)",,,,2023-05-24 16:38:13,2023-05-24 16:38:13,"0,509s",PASSED
"tap(findTestObject(""Object Repository/INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.TextView - Iniciar sesin""), 0)",,,,2023-05-24 16:38:13,2023-05-24 16:38:14,"1,174s",PASSED
"verifyElementText(findTestObject(""Object Repository/INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.TextView - Recuperar Cuenta""), ""Recuperar Cuenta"")",,,,2023-05-24 16:38:14,2023-05-24 16:38:17,"2,192s",PASSED
"tap(findTestObject(""Object Repository/INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.EditText - Apodo""), 0)",,,,2023-05-24 16:38:17,2023-05-24 16:38:17,"0,383s",PASSED
"setText(findTestObject(""Object Repository/INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.EditText - Apodo (1)""), ""AUTOMATIZACION"", 0)",,,,2023-05-24 16:38:17,2023-05-24 16:38:20,"3,332s",PASSED
hideKeyboard(),,,,2023-05-24 16:38:20,2023-05-24 16:38:21,"1,121s",PASSED
"tap(findTestObject(""Object Repository/INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.Button - Recuperar""), 0)",,,,2023-05-24 16:38:21,2023-05-24 16:38:22,"0,849s",PASSED
"tap(findTestObject(""Object Repository/INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.RadioButton - No eleg esta pregunta""), 0)",,,,2023-05-24 16:38:22,2023-05-24 16:38:25,"2,643s",PASSED
"tap(findTestObject(""Object Repository/INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.Button - Siguiente""), 0)",,,,2023-05-24 16:38:25,2023-05-24 16:38:27,"1,631s",PASSED
"tap(findTestObject(""Object Repository/INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.Button - Siguiente (1)""), 0)",,,,2023-05-24 16:38:27,2023-05-24 16:38:27,"0,525s",PASSED
"tap(findTestObject(""Object Repository/INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.RadioGroup""), 0)",,,,2023-05-24 16:38:27,2023-05-24 16:38:28,"0,525s",PASSED
"tap(findTestObject(""INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.Button - Siguiente (1)""), 0)",,,,2023-05-24 16:38:28,2023-05-24 16:38:29,"1,674s",PASSED
"tap(findTestObject(""Object Repository/INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.RadioGroup (1)""), 0)",,,,2023-05-24 16:38:29,2023-05-24 16:38:30,"0,567s",PASSED
"tap(findTestObject(""INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.Button - Siguiente (1)""), 0)",,,,2023-05-24 16:38:30,2023-05-24 16:38:31,"1,036s",PASSED
"tap(findTestObject(""INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.Button - Siguiente (1)""), 0)",,,,2023-05-24 16:38:31,2023-05-24 16:38:32,"1,001s",PASSED
"tap(findTestObject(""INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.RadioGroup (1)""), 0)",,,,2023-05-24 16:38:32,2023-05-24 16:38:32,"0,538s",PASSED
"tap(findTestObject(""INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.Button - Siguiente (1)""), 0)",,,,2023-05-24 16:38:32,2023-05-24 16:38:34,"1,717s",PASSED
"tap(findTestObject(""INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.RadioGroup (1)""), 0)",,,,2023-05-24 16:38:34,2023-05-24 16:38:35,"0,536s",PASSED
"tap(findTestObject(""Object Repository/INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.Button - Finalizar""), 0)",,,,2023-05-24 16:38:35,2023-05-24 16:38:36,"1,027s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/INICIA_SESION_APODO_INEXISTENTE/CPN21/androidx.appcompat.widget.LinearLayoutCompat""), 0)",,,,2023-05-24 16:38:36,2023-05-24 16:38:37,"1,452s",PASSED
"tap(findTestObject(""Object Repository/INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.Button - Cerrar""), 0)",,,,2023-05-24 16:38:37,2023-05-24 16:38:38,"0,427s",PASSED
,,,,,,,
Test Cases/INICIA_SESION_APODO_EXISTENTE3.2/CPN22,,,,2023-05-24 16:38:38,2023-05-24 16:38:57,"19,476s",PASSED
"tap(findTestObject(""Object Repository/INICIA_SESION_APODO_EXISTENTE/CPN22/android.widget.EditText - Apodo""), 0)",,,,2023-05-24 16:38:38,2023-05-24 16:38:39,"1,304s",PASSED
"setText(findTestObject(""Object Repository/INICIA_SESION_APODO_EXISTENTE/CPN22/android.widget.EditText - Apodo (1)""), ""EDWIN_1324"", 0)",,,,2023-05-24 16:38:39,2023-05-24 16:38:41,"1,985s",PASSED
hideKeyboard(),,,,2023-05-24 16:38:41,2023-05-24 16:38:42,"0,751s",PASSED
"tap(findTestObject(""Object Repository/INICIA_SESION_APODO_EXISTENTE/CPN22/android.widget.Button - Recuperar""), 0)",,,,2023-05-24 16:38:42,2023-05-24 16:38:43,"0,872s",PASSED
"tap(findTestObject(""INICIA_SESION_APODO_EXISTENTE/CPN22/android.widget.RadioGroup""), 0)",,,,2023-05-24 16:38:43,2023-05-24 16:38:44,"1,438s",PASSED
"tap(findTestObject(""Object Repository/INICIA_SESION_APODO_EXISTENTE/CPN22/android.widget.Button - Siguiente""), 0)",,,,2023-05-24 16:38:44,2023-05-24 16:38:46,"1,612s",PASSED
"tap(findTestObject(""Object Repository/INICIA_SESION_APODO_EXISTENTE/CPN22/android.widget.Button - Siguiente (1)""), 0)",,,,2023-05-24 16:38:46,2023-05-24 16:38:46,"0,489s",PASSED
"tap(findTestObject(""Object Repository/INICIA_SESION_APODO_EXISTENTE/CPN22/android.widget.RadioGroup (1)""), 0)",,,,2023-05-24 16:38:46,2023-05-24 16:38:47,"0,529s",PASSED
"tap(findTestObject(""INICIA_SESION_APODO_EXISTENTE/CPN22/android.widget.Button - Siguiente (1)""), 0)",,,,2023-05-24 16:38:47,2023-05-24 16:38:48,"0,957s",PASSED
"tap(findTestObject(""Object Repository/INICIA_SESION_APODO_EXISTENTE/CPN22/android.widget.RadioButton - No eleg esta pregunta""), 0)",,,,2023-05-24 16:38:48,2023-05-24 16:38:49,"1,149s",PASSED
"tap(findTestObject(""INICIA_SESION_APODO_EXISTENTE/CPN22/android.widget.Button - Siguiente (1)""), 0)",,,,2023-05-24 16:38:49,2023-05-24 16:38:51,"1,674s",PASSED
"tap(findTestObject(""INICIA_SESION_APODO_EXISTENTE/CPN22/android.widget.RadioGroup""), 0)",,,,2023-05-24 16:38:51,2023-05-24 16:38:51,"0,478s",PASSED
"tap(findTestObject(""INICIA_SESION_APODO_EXISTENTE/CPN22/android.widget.Button - Siguiente (1)""), 0)",,,,2023-05-24 16:38:51,2023-05-24 16:38:53,"1,661s",PASSED
"tap(findTestObject(""INICIA_SESION_APODO_EXISTENTE/CPN22/android.widget.RadioGroup""), 0)",,,,2023-05-24 16:38:53,2023-05-24 16:38:53,"0,503s",PASSED
"tap(findTestObject(""Object Repository/INICIA_SESION_APODO_EXISTENTE/CPN22/android.widget.Button - Finalizar""), 0)",,,,2023-05-24 16:38:53,2023-05-24 16:38:54,"0,968s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/INICIA_SESION_APODO_EXISTENTE/CPN22/androidx.appcompat.widget.LinearLayoutCompat""), 0)",,,,2023-05-24 16:38:54,2023-05-24 16:38:56,"1,607s",PASSED
"tap(findTestObject(""Object Repository/INICIA_SESION_APODO_EXISTENTE/CPN22/android.widget.Button - Cerrar""), 0)",,,,2023-05-24 16:38:56,2023-05-24 16:38:56,"0,432s",PASSED
"tap(findTestObject(""Object Repository/INICIA_SESION_APODO_EXISTENTE/CPN22/android.widget.ImageButton""), 0)",,,,2023-05-24 16:38:56,2023-05-24 16:38:57,"0,849s",PASSED
,,,,,,,
Test Cases/Abrir_App/CPN4,,,,2023-05-24 16:38:57,2023-05-24 16:38:59,"1,660s",PASSED
"toggleWifi(""OFF"", STOP_ON_FAILURE)",,,,2023-05-24 16:38:57,2023-05-24 16:38:59,"1,424s",PASSED
,,,,,,,
Test Cases/CPNTUTORIAL/CPNTUTORIAL,,,,2023-05-24 16:38:59,2023-05-24 16:39:10,"11,130s",PASSED
"verifyElementText(findTestObject(""Object Repository/CPNTUTORIAL/android.widget.FrameLayout (1)""), """")",,,,2023-05-24 16:38:59,2023-05-24 16:39:00,"0,649s",PASSED
pressBack(),,,,2023-05-24 16:39:00,2023-05-24 16:39:00,"0,313s",PASSED
"tap(findTestObject(""Object Repository/CPNTUTORIAL/android.widget.TextView - Omitir""), 0)",,,,2023-05-24 16:39:00,2023-05-24 16:39:01,"1,034s",PASSED
pressBack(),,,,2023-05-24 16:39:01,2023-05-24 16:39:02,"1,229s",PASSED
"toggleWifi(""ON"", STOP_ON_FAILURE)",,,,2023-05-24 16:39:02,2023-05-24 16:39:03,"1,230s",PASSED
"tap(findTestObject(""Object Repository/CPNTUTORIAL/android.widget.TextView - Siguiente""), 0)",,,,2023-05-24 16:39:03,2023-05-24 16:39:04,"0,332s",PASSED
"verifyElementText(findTestObject(""CPNTUTORIAL/android.widget.FrameLayout""), """")",,,,2023-05-24 16:39:04,2023-05-24 16:39:05,"0,883s",PASSED
"tap(findTestObject(""Object Repository/CPNTUTORIAL/android.widget.TextView - Siguiente (1)""), 0)",,,,2023-05-24 16:39:05,2023-05-24 16:39:05,"0,490s",PASSED
"verifyElementText(findTestObject(""CPNTUTORIAL/android.widget.FrameLayout""), """")",,,,2023-05-24 16:39:05,2023-05-24 16:39:06,"0,920s",PASSED
"tap(findTestObject(""CPNTUTORIAL/android.widget.TextView - Siguiente (1)""), 0)",,,,2023-05-24 16:39:06,2023-05-24 16:39:06,"0,419s",PASSED
"tap(findTestObject(""CPNTUTORIAL/android.widget.TextView - Siguiente (1)""), 0)",,,,2023-05-24 16:39:06,2023-05-24 16:39:08,"1,780s",PASSED
"verifyElementText(findTestObject(""CPNTUTORIAL/android.widget.FrameLayout""), """")",,,,2023-05-24 16:39:08,2023-05-24 16:39:08,"0,303s",PASSED
"tap(findTestObject(""CPNTUTORIAL/android.widget.TextView - Siguiente (1)""), 0)",,,,2023-05-24 16:39:08,2023-05-24 16:39:09,"0,234s",PASSED
"verifyElementText(findTestObject(""CPNTUTORIAL/android.widget.FrameLayout""), """")",,,,2023-05-24 16:39:09,2023-05-24 16:39:10,"0,813s",PASSED
"tap(findTestObject(""Object Repository/CPNTUTORIAL/android.widget.TextView - Empezar""), 0)",,,,2023-05-24 16:39:10,2023-05-24 16:39:10,"0,294s",PASSED
,,,,,,,
Test Cases/Crear cuenta/CPN5,,,,2023-05-24 16:39:10,2023-05-24 16:39:19,"8,933s",PASSED
"tap(findTestObject(""Object Repository/Crear_cuenta/CPN5/android.widget.Button - Crear Cuenta""), 0)",,,,2023-05-24 16:39:10,2023-05-24 16:39:11,"0,713s",PASSED
"verifyElementText(findTestObject(""Crear_cuenta/CPN5/android.widget.FrameLayout""), """")",,,,2023-05-24 16:39:11,2023-05-24 16:39:12,"1,100s",PASSED
"tap(findTestObject(""Object Repository/Crear_cuenta/CPN5/android.widget.Button - Enviar cdigo de registro""), 0)",,,,2023-05-24 16:39:12,2023-05-24 16:39:13,"1,026s",PASSED
"verifyElementText(findTestObject(""Object Repository/Crear_cuenta/CPN5/android.widget.TextView - Bienvenido a NapoleoN Chat""), ""Bienvenido a NapoleoN Chat"")",,,,2023-05-24 16:39:13,2023-05-24 16:39:18,"4,866s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Crear_cuenta/CPN5/android.widget.LinearLayout""), 0)",,,,2023-05-24 16:39:18,2023-05-24 16:39:19,"1,007s",PASSED
,,,,,,,
Test Cases/Crear cuenta/CPN6-7,,,,2023-05-24 16:39:19,2023-05-24 16:39:58,"39,098s",PASSED
"verifyElementVisible(findTestObject(""Crear_cuenta/CPN6-7/android.widget.LinearLayout""), 0)",,,,2023-05-24 16:39:19,2023-05-24 16:39:21,"2,038s",PASSED
"tap(findTestObject(""Object Repository/Crear_cuenta/CPN6-7/android.widget.Button - Reenviar cdigo""), 0)",,,,2023-05-24 16:39:21,2023-05-24 16:39:22,"0,808s",PASSED
delay(1),,,,2023-05-24 16:39:22,2023-05-24 16:39:23,"1,010s",PASSED
"verifyElementVisible(findTestObject(""Crear_cuenta/CPN6-7/android.widget.LinearLayout""), 0)",,,,2023-05-24 16:39:23,2023-05-24 16:39:24,"0,918s",PASSED
"tap(findTestObject(""Crear_cuenta/CPN6-7/android.widget.Button - Reenviar cdigo (1)""), 0)",,,,2023-05-24 16:39:24,2023-05-24 16:39:25,"0,955s",PASSED
delay(31),,,,2023-05-24 16:39:25,2023-05-24 16:39:56,"31,008s",PASSED
"verifyElementVisible(findTestObject(""Crear_cuenta/CPN6-7/android.widget.LinearLayout""), 0)",,,,2023-05-24 16:39:56,2023-05-24 16:39:56,"0,530s",PASSED
delay(1),,,,2023-05-24 16:39:56,2023-05-24 16:39:57,"1,009s",PASSED
"tap(findTestObject(""Crear_cuenta/CPN6-7/android.widget.Button - Reenviar cdigo (1)""), 0)",,,,2023-05-24 16:39:57,2023-05-24 16:39:58,"0,612s",PASSED
,,,,,,,
Test Cases/Crear cuenta/CPN9,,,,2023-05-24 16:39:58,2023-05-24 16:40:11,"12,672s",PASSED
"tap(findTestObject(""Object Repository/Crear_cuenta/CPN9/android.widget.Button - Continuar""), 0)",,,,2023-05-24 16:39:58,2023-05-24 16:40:01,"3,065s",PASSED
"verifyElementText(findTestObject(""Object Repository/Crear_cuenta/CPN9/android.view.ViewGroup""), """")",,,,2023-05-24 16:40:01,2023-05-24 16:40:05,"3,449s",PASSED
"tap(findTestObject(""Object Repository/Crear_cuenta/CPN9/android.widget.EditText - Apodo""), 0)",,,,2023-05-24 16:40:05,2023-05-24 16:40:05,"0,540s",PASSED
"setText(findTestObject(""Object Repository/Crear_cuenta/CPN9/android.widget.EditText - Apodo (1)""), ""PRUEBA"", 0)",,,,2023-05-24 16:40:05,2023-05-24 16:40:08,"2,933s",PASSED
"clearText(findTestObject(""Object Repository/Crear_cuenta/CPN9/android.widget.EditText - PRUEBA""), 0)",,,,2023-05-24 16:40:08,2023-05-24 16:40:09,"1,057s",PASSED
hideKeyboard(),,,,2023-05-24 16:40:09,2023-05-24 16:40:10,"0,677s",PASSED
"verifyElementText(findTestObject(""Object Repository/Crear_cuenta/CPN9/android.widget.TextView - El Apodo es obligatorio""), ""El Apodo es obligatorio"")",,,,2023-05-24 16:40:10,2023-05-24 16:40:11,"0,721s",PASSED
,,,,,,,
Test Cases/Crear cuenta/CPN10,,,,2023-05-24 16:40:11,2023-05-24 16:40:17,"6,441s",PASSED
"tap(findTestObject(""Object Repository/Crear_cuenta/CPN10/android.widget.EditText - Apodo""), 0)",,,,2023-05-24 16:40:11,2023-05-24 16:40:11,"0,572s",PASSED
"setText(findTestObject(""Object Repository/Crear_cuenta/CPN10/android.widget.EditText - Apodo (1)""), ""0123456789"", 0)",,,,2023-05-24 16:40:11,2023-05-24 16:40:14,"3,054s",PASSED
"verifyElementText(findTestObject(""Object Repository/Crear_cuenta/CPN10/android.widget.TextView - El Apodo debe comenzar con una letra""), ""El Apodo debe comenzar con una letra"")",,,,2023-05-24 16:40:14,2023-05-24 16:40:15,"1,026s",PASSED
hideKeyboard(),,,,2023-05-24 16:40:15,2023-05-24 16:40:16,"0,787s",PASSED
