Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PRUEBA,,,,2023-06-02 10:17:04,2023-06-02 10:22:53,"5m - 49,149s",FAILED
,,,,,,,
Test Cases/CPNTUTORIAL/CPNTUTORIAL,,,,2023-06-02 10:17:04,2023-06-02 10:17:56,"51,403s",PASSED
"startApplication(""C:\Users\Testing\Desktop\katalon\APK SERVIDOR NUEVO\NapoleoN.apk"", true)",,,,2023-06-02 10:17:05,2023-06-02 10:17:45,"40,848s",PASSED
"verifyElementText(findTestObject(""Object Repository/CPNTUTORIAL/android.widget.FrameLayout (1)""), """")",,,,2023-06-02 10:17:45,2023-06-02 10:17:47,"1,384s",PASSED
"tap(findTestObject(""Object Repository/CPNTUTORIAL/android.widget.TextView - Omitir""), 0)",,,,2023-06-02 10:17:47,2023-06-02 10:17:47,"0,523s",PASSED
pressBack(),,,,2023-06-02 10:17:47,2023-06-02 10:17:49,"1,127s",PASSED
"toggleWifi(""ON"", STOP_ON_FAILURE)",,,,2023-06-02 10:17:49,2023-06-02 10:17:49,"0,608s",PASSED
"tap(findTestObject(""Object Repository/CPNTUTORIAL/android.widget.TextView - Siguiente""), 0)",,,,2023-06-02 10:17:49,2023-06-02 10:17:50,"0,531s",PASSED
"verifyElementText(findTestObject(""CPNTUTORIAL/android.widget.FrameLayout""), """")",,,,2023-06-02 10:17:50,2023-06-02 10:17:51,"0,907s",PASSED
"tap(findTestObject(""Object Repository/CPNTUTORIAL/android.widget.TextView - Siguiente (1)""), 0)",,,,2023-06-02 10:17:51,2023-06-02 10:17:51,"0,409s",PASSED
"verifyElementText(findTestObject(""CPNTUTORIAL/android.widget.FrameLayout""), """")",,,,2023-06-02 10:17:51,2023-06-02 10:17:52,"0,874s",PASSED
"tap(findTestObject(""CPNTUTORIAL/android.widget.TextView - Siguiente (1)""), 0)",,,,2023-06-02 10:17:52,2023-06-02 10:17:52,"0,432s",PASSED
"tap(findTestObject(""CPNTUTORIAL/android.widget.TextView - Siguiente (1)""), 0)",,,,2023-06-02 10:17:52,2023-06-02 10:17:54,"1,475s",PASSED
"verifyElementText(findTestObject(""CPNTUTORIAL/android.widget.FrameLayout""), """")",,,,2023-06-02 10:17:54,2023-06-02 10:17:54,"0,308s",PASSED
"tap(findTestObject(""CPNTUTORIAL/android.widget.TextView - Siguiente (1)""), 0)",,,,2023-06-02 10:17:54,2023-06-02 10:17:54,"0,405s",PASSED
"verifyElementText(findTestObject(""CPNTUTORIAL/android.widget.FrameLayout""), """")",,,,2023-06-02 10:17:54,2023-06-02 10:17:55,"0,838s",PASSED
"tap(findTestObject(""Object Repository/CPNTUTORIAL/android.widget.TextView - Empezar""), 0)",,,,2023-06-02 10:17:55,2023-06-02 10:17:56,"0,384s",PASSED
,,,,,,,
Test Cases/Abrir_App/CPN1,,,,2023-06-02 10:17:56,2023-06-02 10:18:03,"6,915s",PASSED
pressBack(),,,,2023-06-02 10:17:56,2023-06-02 10:17:57,"0,421s",PASSED
pressBack(),,,,2023-06-02 10:17:57,2023-06-02 10:17:57,"0,791s",PASSED
"toggleWifi(""OFF"", STOP_ON_FAILURE)",,,,2023-06-02 10:17:57,2023-06-02 10:17:59,"1,225s",PASSED
"tap(findTestObject(""Object Repository/Abrir_App/CPN1/android.widget.TextView - NapoleoN""), 0)",,,,2023-06-02 10:17:59,2023-06-02 10:18:00,"0,925s",PASSED
delay(2),,,,2023-06-02 10:18:00,2023-06-02 10:18:02,"2,065s",PASSED
"toggleWifi(""ON"", STOP_ON_FAILURE)",,,,2023-06-02 10:18:02,2023-06-02 10:18:03,"1,026s",PASSED
,,,,,,,
Test Cases/Abrir_App/CPN2,,,,2023-06-02 10:18:03,2023-06-02 10:18:08,"5,219s",PASSED
pressBack(),,,,2023-06-02 10:18:03,2023-06-02 10:18:03,"0,361s",PASSED
pressBack(),,,,2023-06-02 10:18:03,2023-06-02 10:18:04,"1,013s",PASSED
"tap(findTestObject(""Object Repository/CPN2/android.widget.TextView - NapoleoN""), 0)",,,,2023-06-02 10:18:04,2023-06-02 10:18:05,"0,450s",PASSED
"toggleWifi(""off"", STOP_ON_FAILURE)",,,,2023-06-02 10:18:05,2023-06-02 10:18:06,"1,145s",PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-06-02 10:18:06,2023-06-02 10:18:08,"2,003s",PASSED
,,,,,,,
Test Cases/Abrir_App/CPN3,,,,2023-06-02 10:18:08,2023-06-02 10:18:25,"17,606s",PASSED
pressBack(),,,,2023-06-02 10:18:08,2023-06-02 10:18:09,"0,765s",PASSED
pressBack(),,,,2023-06-02 10:18:09,2023-06-02 10:18:09,"0,624s",PASSED
"toggleWifi(""ON"", STOP_ON_FAILURE)",,,,2023-06-02 10:18:09,2023-06-02 10:18:10,"0,872s",PASSED
delay(4),,,,2023-06-02 10:18:10,2023-06-02 10:18:14,"4,018s",PASSED
"toggleWifi(""OFF"", STOP_ON_FAILURE)",,,,2023-06-02 10:18:14,2023-06-02 10:18:15,"0,977s",PASSED
"tap(findTestObject(""Abrir_App/CPN1/android.widget.TextView - NapoleoN""), 0)",,,,2023-06-02 10:18:15,2023-06-02 10:18:16,"0,722s",PASSED
"tap(findTestObject(""Abrir_App/CPN3/android.widget.Button - Crear Cuenta""), 0)",,,,2023-06-02 10:18:16,2023-06-02 10:18:18,"1,685s",PASSED
delay(3),,,,2023-06-02 10:18:18,2023-06-02 10:18:21,"3,016s",PASSED
"tap(findTestObject(""Object Repository/Abrir_App/CPN3/android.widget.Button - Enviar cdigo de registro""), 0)",,,,2023-06-02 10:18:21,2023-06-02 10:18:21,"0,364s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Abrir_App/CPN3/android.widget.FrameLayout""), 0)",,,,2023-06-02 10:18:21,2023-06-02 10:18:23,"2,374s",PASSED
"tap(findTestObject(""Object Repository/Abrir_App/CPN3/android.widget.Button - OK""), 0)",,,,2023-06-02 10:18:23,2023-06-02 10:18:25,"1,046s",PASSED
"toggleWifi(""ON"", STOP_ON_FAILURE)",,,,2023-06-02 10:18:25,2023-06-02 10:18:25,"0,903s",PASSED
,,,,,,,
Test Cases/INICIA_SESION_APODO_INEXISTENTE3.1/CPN21,,,,2023-06-02 10:18:25,2023-06-02 10:18:50,"24,509s",PASSED
delay(2),,,,2023-06-02 10:18:26,2023-06-02 10:18:28,"2,013s",PASSED
"tap(findTestObject(""Object Repository/INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.ImageButton""), 0)",,,,2023-06-02 10:18:28,2023-06-02 10:18:28,"0,737s",PASSED
"tap(findTestObject(""Object Repository/INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.TextView - Iniciar sesin""), 0)",,,,2023-06-02 10:18:28,2023-06-02 10:18:29,"0,993s",PASSED
"verifyElementText(findTestObject(""Object Repository/INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.TextView - Recuperar Cuenta""), ""Recuperar Cuenta"")",,,,2023-06-02 10:18:29,2023-06-02 10:18:31,"1,589s",PASSED
"tap(findTestObject(""Object Repository/INICIA_SESION_APODO_INEXISTENTE/CPN21/android.widget.EditText - Apodo""), 0)",,,,2023-06-02 10:18:31,2023-06-02 10:18:32,"0,860s",PASSED
