Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
pERFILPROPIO,,,,2023-06-06 17:00:16,2023-06-06 17:02:05,"1m - 49,082s",FAILED
,,,,,,,
Test Cases/ingreso para prueba,,,,2023-06-06 17:00:16,2023-06-06 17:01:20,"1m - 3,894s",PASSED
"startApplication(""C:\Users\Testing\Desktop\katalon\Version nueva\app-debug (2).apk"", true)",,,,2023-06-06 17:00:16,2023-06-06 17:00:55,"38,727s",PASSED
"tap(findTestObject(""Object Repository/ingreso/android.widget.TextView - Omitir""), 0)",,,,2023-06-06 17:00:55,2023-06-06 17:00:56,"1,361s",PASSED
"tap(findTestObject(""Object Repository/ingreso/android.widget.Button - Crear Cuenta""), 0)",,,,2023-06-06 17:00:56,2023-06-06 17:00:58,"1,298s",PASSED
"tap(findTestObject(""Object Repository/ingreso/android.widget.Button - Enviar cdigo de registro""), 0)",,,,2023-06-06 17:00:58,2023-06-06 17:00:59,"1,890s",PASSED
"tap(findTestObject(""Object Repository/ingreso/android.widget.Button - Continuar""), 0)",,,,2023-06-06 17:00:59,2023-06-06 17:01:08,"8,509s",PASSED
"setText(findTestObject(""Object Repository/ingreso/android.widget.EditText - Apodo""), ""libre02"", 0)",,,,2023-06-06 17:01:08,2023-06-06 17:01:12,"3,809s",PASSED
"tap(findTestObject(""Object Repository/ingreso/android.widget.Button - Siguiente""), 0)",,,,2023-06-06 17:01:12,2023-06-06 17:01:13,"1,264s",PASSED
"setText(findTestObject(""Object Repository/ingreso/android.widget.EditText - Pin de Acceso""), ""0000"", 0)",,,,2023-06-06 17:01:13,2023-06-06 17:01:16,"3,244s",PASSED
"setText(findTestObject(""Object Repository/ingreso/android.widget.EditText - Confirmar nuevo pin de acceso""), ""0000"", 0)",,,,2023-06-06 17:01:16,2023-06-06 17:01:19,"2,546s",PASSED
"tap(findTestObject(""Object Repository/ingreso/android.widget.Button - Crear Cuenta (1)""), 0)",,,,2023-06-06 17:01:19,2023-06-06 17:01:20,"0,869s",PASSED
,,,,,,,
Test Cases/PerfilPropio/CPN133,,,,2023-06-06 17:01:20,2023-06-06 17:01:27,"7,570s",PASSED
"tap(findTestObject(""Object Repository/CPN133/android.widget.FrameLayout""), 0)",,,,2023-06-06 17:01:20,2023-06-06 17:01:23,"3,242s",PASSED
"tap(findTestObject(""Object Repository/CPN133/android.widget.ImageView""), 0)",,,,2023-06-06 17:01:23,2023-06-06 17:01:25,"1,557s",PASSED
"verifyElementVisible(findTestObject(""CPN133/android.widget.TextView - Perfil""), 0)",,,,2023-06-06 17:01:25,2023-06-06 17:01:27,"2,261s",PASSED
"tap(findTestObject(""Object Repository/CPN133/android.widget.ImageButton""), 0)",,,,2023-06-06 17:01:27,2023-06-06 17:01:27,"0,304s",PASSED
,,,,,,,
Test Cases/PerfilPropio/CPN134,,,,2023-06-06 17:01:27,2023-06-06 17:02:05,"37,330s",FAILED
"tap(findTestObject(""Object Repository/CPN134/android.widget.ImageButton""), 0)",,,,2023-06-06 17:01:27,2023-06-06 17:01:28,"0,882s",PASSED
"tap(findTestObject(""Object Repository/CPN134/android.widget.TextView - Tomar foto""), 0)",,,,2023-06-06 17:01:28,2023-06-06 17:01:30,"1,154s",PASSED
"tap(findTestObject(""Object Repository/CPN134/android.widget.ImageButton (1)""), 0)",,CAPTURAR FOTO,,2023-06-06 17:01:30,2023-06-06 17:01:31,"1,748s",PASSED
"tap(findTestObject(""Object Repository/CPN134/android.widget.ImageButton (2)""), 0)",,CANCELAR,,2023-06-06 17:01:31,2023-06-06 17:01:32,"0,771s",PASSED
"tap(findTestObject(""CPN134/android.widget.ImageButton""), 0)",,,,2023-06-06 17:01:32,2023-06-06 17:02:05,"32,556s",FAILED
