Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PRUEBA-CPN105.1,,,,2023-06-16 09:14:34,2023-06-16 09:25:02,"10m - 27,368s",PASSED
,,,,,,,
Test Cases/CPNTUTORIAL/CPNTUTORIAL,,,,2023-06-16 09:14:34,2023-06-16 09:15:27,"52,781s",PASSED
"startApplication(""C:\Users\Testing\Desktop\katalon\APK SERVIDOR NUEVO\NapoleoN.apk"", true)",,,,2023-06-16 09:14:35,2023-06-16 09:15:18,"42,647s",PASSED
"verifyElementText(findTestObject(""Object Repository/CPNTUTORIAL/android.widget.FrameLayout (1)""), """")",,,,2023-06-16 09:15:18,2023-06-16 09:15:19,"1,311s",PASSED
"tap(findTestObject(""Object Repository/CPNTUTORIAL/android.widget.TextView - Omitir""), 1)",,,,2023-06-16 09:15:19,2023-06-16 09:15:19,"0,461s",PASSED
pressBack(),,,,2023-06-16 09:15:19,2023-06-16 09:15:20,"1,120s",PASSED
"toggleWifi(""ON"", STOP_ON_FAILURE)",,,,2023-06-16 09:15:20,2023-06-16 09:15:21,"0,668s",PASSED
"tap(findTestObject(""Object Repository/CPNTUTORIAL/android.widget.TextView - Siguiente""), 1)",,,,2023-06-16 09:15:21,2023-06-16 09:15:22,"0,433s",PASSED
"verifyElementText(findTestObject(""CPNTUTORIAL/android.widget.FrameLayout""), """")",,,,2023-06-16 09:15:22,2023-06-16 09:15:22,"0,764s",PASSED
"tap(findTestObject(""Object Repository/CPNTUTORIAL/android.widget.TextView - Siguiente (1)""), 500)",,,,2023-06-16 09:15:22,2023-06-16 09:15:23,"0,429s",PASSED
"verifyElementText(findTestObject(""CPNTUTORIAL/android.widget.FrameLayout""), """")",,,,2023-06-16 09:15:23,2023-06-16 09:15:23,"0,742s",PASSED
"tap(findTestObject(""CPNTUTORIAL/android.widget.TextView - Siguiente (1)""), 500)",,,,2023-06-16 09:15:23,2023-06-16 09:15:24,"0,452s",PASSED
"tap(findTestObject(""CPNTUTORIAL/android.widget.TextView - Siguiente (1)""), 100)",,,,2023-06-16 09:15:24,2023-06-16 09:15:25,"0,960s",PASSED
"verifyElementText(findTestObject(""CPNTUTORIAL/android.widget.FrameLayout""), """")",,,,2023-06-16 09:15:25,2023-06-16 09:15:26,"0,850s",PASSED
"tap(findTestObject(""CPNTUTORIAL/android.widget.TextView - Siguiente (1)""), 1)",,,,2023-06-16 09:15:26,2023-06-16 09:15:26,"0,360s",PASSED
"verifyElementText(findTestObject(""CPNTUTORIAL/android.widget.FrameLayout""), """")",,,,2023-06-16 09:15:26,2023-06-16 09:15:27,"0,830s",PASSED
