Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Prueba integracion,,,,2023-06-23 11:51:44,2023-06-23 11:57:50,"6m - 6,332s",PASSED
,,,,,,,
Test Cases/ingreso para prueba,,,,2023-06-23 11:51:44,2023-06-23 11:53:11,"1m - 26,505s",PASSED
"startApplication(""C:\Users\Testing\Desktop\katalon\Version nueva\app-debug (2).apk"", true)",,,,2023-06-23 11:51:44,2023-06-23 11:52:26,"41,767s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.TextView - Omitir""), 0)",,,,2023-06-23 11:52:26,2023-06-23 11:52:46,"19,588s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.Button - Crear Cuenta""), 0)",,,,2023-06-23 11:52:46,2023-06-23 11:52:47,"1,337s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.Button - Enviar cdigo de registro""), 0)",,,,2023-06-23 11:52:47,2023-06-23 11:52:48,"1,275s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.Button - Continuar""), 0)",,,,2023-06-23 11:52:48,2023-06-23 11:52:56,"7,950s",PASSED
"setText(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.EditText - Apodo""), ""libre024"", 0)",,,,2023-06-23 11:52:56,2023-06-23 11:53:00,"4,126s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.Button - Siguiente""), 0)",,,,2023-06-23 11:53:00,2023-06-23 11:53:02,"1,058s",PASSED
"setText(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.EditText - Pin de Acceso""), ""0000"", 0)",,,,2023-06-23 11:53:02,2023-06-23 11:53:05,"3,685s",PASSED
"setText(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.EditText - Confirmar nuevo pin de acceso""), ""0000"", 0)",,,,2023-06-23 11:53:05,2023-06-23 11:53:08,"2,483s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.Button - Crear Cuenta (1)""), 0)",,,,2023-06-23 11:53:08,2023-06-23 11:53:09,"0,839s",PASSED
"delay(2, CONTINUE_ON_FAILURE)",,,,2023-06-23 11:53:09,2023-06-23 11:53:11,"2,037s",PASSED
,,,,,,,
Test Cases/Parte2/Ajustes/Cuenta/Pin de Acceso/CPN159,,"Valdación de campos nuevo pin de acceso y confirmacion de pin: ""El pin de acceso no coincide""",pin de acceso,2023-06-23 11:53:11,2023-06-23 11:53:25,"14,216s",PASSED
"tap(findTestObject(""Parte2/Ajustes cuenta/Cuenta/Pin de Acceso/android.widget.FrameLayout (1)""), 0)",,,,2023-06-23 11:53:11,2023-06-23 11:53:12,"1,232s",PASSED
"tap(findTestObject(""Parte2/Ajustes cuenta/Cuenta/Pin de Acceso/android.widget.LinearLayout""), 0)",,,,2023-06-23 11:53:12,2023-06-23 11:53:14,"1,590s",PASSED
"tap(findTestObject(""Parte2/Ajustes cuenta/Cuenta/Pin de Acceso/android.widget.LinearLayout (1)""), 0)",,,,2023-06-23 11:53:14,2023-06-23 11:53:16,"2,266s",PASSED
"setText(findTestObject(""Parte2/Ajustes cuenta/Cuenta/Pin de Acceso/android.widget.EditText - Pin de acceso antiguo""), ""0000"", 0)",,,,2023-06-23 11:53:16,2023-06-23 11:53:18,"2,189s",PASSED
"setText(findTestObject(""Parte2/Ajustes cuenta/Cuenta/Pin de Acceso/android.widget.EditText - Nuevo pin de acceso""), ""1234"", 0)",,,,2023-06-23 11:53:18,2023-06-23 11:53:20,"1,747s",PASSED
"setText(findTestObject(""Parte2/Ajustes cuenta/Cuenta/Pin de Acceso/android.widget.EditText - Confirmar nuevo pin de acceso""), ""4321"", 0)",,,,2023-06-23 11:53:20,2023-06-23 11:53:22,"1,768s",PASSED
"tap(findTestObject(""Parte2/Ajustes cuenta/Cuenta/Pin de Acceso/android.widget.Button - Editar""), 0)",,,,2023-06-23 11:53:22,2023-06-23 11:53:23,"1,553s",PASSED
"verifyElementText(findTestObject(""Parte2/Ajustes cuenta/Cuenta/Pin de Acceso/android.widget.TextView - El pin de acceso no coincide""), ""El pin de acceso no coincide"")",,,,2023-06-23 11:53:23,2023-06-23 11:53:23,"0,289s",PASSED
"verifyElementText(findTestObject(""Parte2/Ajustes cuenta/Cuenta/Pin de Acceso/android.widget.TextView - El pin de acceso no coincide (1)""), ""El pin de acceso no coincide"")",,,,2023-06-23 11:53:23,2023-06-23 11:53:24,"0,250s",PASSED
"tap(findTestObject(""Parte2/Ajustes cuenta/Cuenta/Pin de Acceso/android.widget.ImageButton""), 0)",,,,2023-06-23 11:53:24,2023-06-23 11:53:24,"0,289s",PASSED
"tap(findTestObject(""Parte2/Ajustes cuenta/Cuenta/Pin de Acceso/android.widget.LinearLayout (1)""), 0)",,,,2023-06-23 11:53:24,2023-06-23 11:53:25,"0,760s",PASSED
,,,,,,,
Test Cases/Parte2/Ajustes/Cuenta/Pin de Acceso/CPN160,,"Valdación de campo pin de acceso antiguo: ""Pin de acceso no corresponde""",,2023-06-23 11:53:25,2023-06-23 11:53:34,"8,841s",PASSED
