Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Integracion parte1 y parte 2,,,,2023-06-27 14:59:25,2023-06-27 15:16:03,"16m - 37,638s",PASSED
,,,,,,,
Test Cases/Parte1/INICIAR APP/CPNTUTORIAL/CPNTUTORIAL,,,,2023-06-27 14:59:26,2023-06-27 15:00:25,"59,567s",PASSED
"startApplication(""C:\Users\Testing\Desktop\katalon\APK SERVIDOR NUEVO\NapoleoN.apk"", true)",,,,2023-06-27 14:59:26,2023-06-27 15:00:13,"47,319s",PASSED
"verifyElementText(findTestObject(""Object Repository/Parte1/INICIAR APP/CPNTUTORIAL/android.widget.FrameLayout (1)""), """")",,,,2023-06-27 15:00:13,2023-06-27 15:00:16,"2,814s",PASSED
"tap(findTestObject(""Object Repository/Parte1/INICIAR APP/CPNTUTORIAL/android.widget.TextView - Omitir""), 1)",,,,2023-06-27 15:00:16,2023-06-27 15:00:17,"0,598s",PASSED
pressBack(),,,,2023-06-27 15:00:17,2023-06-27 15:00:18,"1,352s",PASSED
"toggleWifi(""ON"", STOP_ON_FAILURE)",,,,2023-06-27 15:00:18,2023-06-27 15:00:19,"0,684s",PASSED
"tap(findTestObject(""Object Repository/Parte1/INICIAR APP/CPNTUTORIAL/android.widget.TextView - Siguiente""), 1)",,,,2023-06-27 15:00:19,2023-06-27 15:00:19,"0,493s",PASSED
"verifyElementText(findTestObject(""Parte1/INICIAR APP/CPNTUTORIAL/android.widget.FrameLayout""), """")",,,,2023-06-27 15:00:19,2023-06-27 15:00:20,"0,770s",PASSED
"tap(findTestObject(""Object Repository/Parte1/INICIAR APP/CPNTUTORIAL/android.widget.TextView - Siguiente (1)""), 500)",,,,2023-06-27 15:00:20,2023-06-27 15:00:20,"0,484s",PASSED
"verifyElementText(findTestObject(""Parte1/INICIAR APP/CPNTUTORIAL/android.widget.FrameLayout""), """")",,,,2023-06-27 15:00:20,2023-06-27 15:00:21,"0,756s",PASSED
"tap(findTestObject(""Parte1/INICIAR APP/CPNTUTORIAL/android.widget.TextView - Siguiente (1)""), 500)",,,,2023-06-27 15:00:21,2023-06-27 15:00:22,"0,470s",PASSED
"tap(findTestObject(""Parte1/INICIAR APP/CPNTUTORIAL/android.widget.TextView - Siguiente (1)""), 100)",,,,2023-06-27 15:00:22,2023-06-27 15:00:23,"1,498s",PASSED
"verifyElementText(findTestObject(""Parte1/INICIAR APP/CPNTUTORIAL/android.widget.FrameLayout""), """")",,,,2023-06-27 15:00:23,2023-06-27 15:00:24,"0,301s",PASSED
"tap(findTestObject(""Parte1/INICIAR APP/CPNTUTORIAL/android.widget.TextView - Siguiente (1)""), 1)",,,,2023-06-27 15:00:24,2023-06-27 15:00:24,"0,360s",PASSED
"verifyElementText(findTestObject(""Parte1/INICIAR APP/CPNTUTORIAL/android.widget.FrameLayout""), """")",,,,2023-06-27 15:00:24,2023-06-27 15:00:25,"0,756s",PASSED
"tap(findTestObject(""Object Repository/Parte1/INICIAR APP/CPNTUTORIAL/android.widget.TextView - Empezar""), 100)",,,,2023-06-27 15:00:25,2023-06-27 15:00:25,"0,508s",PASSED
,,,,,,,
Test Cases/Parte1/INICIAR APP/Abrir_App/CPN1,,,,2023-06-27 15:00:25,2023-06-27 15:00:52,"26,412s",PASSED
