Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
inicio y ajustes chats,,,,2023-09-22 16:16:56,2023-09-22 16:24:23,"7m - 27,205s",PASSED
,,,,,,,
Test Cases/ingreso para prueba,,,,2023-09-22 16:16:56,2023-09-22 16:17:40,"43,714s",PASSED
"startApplication(""C:\Users\Testing\Desktop\katalon\Apk actualizada Android 13\NapoleoN.apk"", true)",,,,2023-09-22 16:16:56,2023-09-22 16:17:38,"42,004s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.TextView - Omitir""), 0)",,,,2023-09-22 16:17:38,2023-09-22 16:17:40,"1,374s",PASSED
,,,,,,,
Test Cases/Parte1/Iniciar_sesioncorrectamente/CPN22_23_24,,,,2023-09-22 16:17:40,2023-09-22 16:18:49,"1m - 9,416s",PASSED
"tap(findTestObject(""Object Repository/Parte1/Iniciar_sesioncorrectamente/CPN22_23_24/android.widget.TextView - Iniciar sesin""), 0)",,,,2023-09-22 16:17:40,2023-09-22 16:17:41,"0,969s",PASSED
"waitForElementPresent(findTestObject(""Object Repository/Parte1/Iniciar_sesioncorrectamente/CPN22_23_24/android.widget.TextView - Recuperar Cuenta""), 0)",,,,2023-09-22 16:17:41,2023-09-22 16:17:43,"1,820s",PASSED
"tap(findTestObject(""Object Repository/Parte1/Iniciar_sesioncorrectamente/CPN22_23_24/android.widget.EditText - Apodo""), 0)",,,,2023-09-22 16:17:43,2023-09-22 16:17:43,"0,611s",PASSED
"setText(findTestObject(""Object Repository/Parte1/Iniciar_sesioncorrectamente/CPN22_23_24/android.widget.EditText - Apodo (1)""), ""edwin_1324"", 0)",,,,2023-09-22 16:17:43,2023-09-22 16:17:46,"2,894s",PASSED
hideKeyboard(),,,,2023-09-22 16:17:46,2023-09-22 16:17:50,"3,188s",PASSED
"tap(findTestObject(""Object Repository/Parte1/Iniciar_sesioncorrectamente/CPN22_23_24/android.widget.Button - Recuperar""), 0)",,,,2023-09-22 16:17:50,2023-09-22 16:17:50,"0,503s",PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-09-22 16:17:50,2023-09-22 16:17:55,"5,027s",PASSED
i = 1,,,,2023-09-22 16:17:55,2023-09-22 16:17:55,"0,001s",PASSED
while (i <= 5),,,,2023-09-22 16:17:55,2023-09-22 16:18:26,"30,529s",PASSED
"verifyElementVisible(findTestObject(""Parte1/Iniciar_sesioncorrectamente/CPN22_23_24/android.widget.TextView - Tu cuenta ha sido recuperada. Gracias por recuperar tu cuenta, ahora puedes chatear de forma privada y segura con tus contactos""), 0)",,,,2023-09-22 16:18:26,2023-09-22 16:18:30,"3,996s",PASSED
"tap(findTestObject(""Object Repository/Parte1/Iniciar_sesioncorrectamente/CPN22_23_24/android.widget.Button - Cerrar""), 0)",,,,2023-09-22 16:18:30,2023-09-22 16:18:30,"0,264s",PASSED
"tap(findTestObject(""Object Repository/Parte1/Iniciar_sesioncorrectamente/CPN22_23_24/android.widget.EditText - Pin de Acceso""), 0)",,,,2023-09-22 16:18:30,2023-09-22 16:18:34,"3,724s",PASSED
"setText(findTestObject(""Object Repository/Parte1/Iniciar_sesioncorrectamente/CPN22_23_24/android.widget.EditText - Pin de Acceso (1)""), ""0000"", 0)",,,,2023-09-22 16:18:34,2023-09-22 16:18:37,"3,276s",PASSED
"tap(findTestObject(""Object Repository/Parte1/Iniciar_sesioncorrectamente/CPN22_23_24/android.widget.EditText - Confirmar nuevo pin de acceso""), 0)",,,,2023-09-22 16:18:37,2023-09-22 16:18:38,"0,946s",PASSED
"setText(findTestObject(""Object Repository/Parte1/Iniciar_sesioncorrectamente/CPN22_23_24/android.widget.EditText - Confirmar nuevo pin de acceso (1)""), ""0000"", 0)",,,,2023-09-22 16:18:38,2023-09-22 16:18:40,"2,640s",PASSED
hideKeyboard(),,,,2023-09-22 16:18:40,2023-09-22 16:18:43,"2,477s",PASSED
