Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
prueba lis,,,,2023-09-27 13:43:34,2023-09-27 13:45:54,"2m - 20,274s",PASSED
,,,,,,,
Test Cases/ingreso para prueba,,,,2023-09-27 13:43:34,2023-09-27 13:44:12,"38,116s",PASSED
"startApplication(""C:\Users\Testing\Desktop\katalon\Apk actualizada Android 13\NapoleoN.apk"", true)",,,,2023-09-27 13:43:35,2023-09-27 13:44:11,"36,301s",PASSED
"tap(findTestObject(""Object Repository/Parte1/ingreso solo prueba/android.widget.TextView - Omitir""), 0)",,,,2023-09-27 13:44:11,2023-09-27 13:44:12,"1,437s",PASSED
,,,,,,,
Test Cases/Parte1/Iniciar_sesioncorrectamente/CPN22_23_24,,,,2023-09-27 13:44:12,2023-09-27 13:45:22,"1m - 9,816s",PASSED
"tap(findTestObject(""Object Repository/Parte1/Iniciar_sesioncorrectamente/CPN22_23_24/android.widget.TextView - Iniciar sesin""), 0)",,,,2023-09-27 13:44:13,2023-09-27 13:44:14,"0,956s",PASSED
"waitForElementPresent(findTestObject(""Object Repository/Parte1/Iniciar_sesioncorrectamente/CPN22_23_24/android.widget.TextView - Recuperar Cuenta""), 0)",,,,2023-09-27 13:44:14,2023-09-27 13:44:15,"1,892s",PASSED
"tap(findTestObject(""Object Repository/Parte1/Iniciar_sesioncorrectamente/CPN22_23_24/android.widget.EditText - Apodo""), 0)",,,,2023-09-27 13:44:15,2023-09-27 13:44:16,"0,613s",PASSED
"setText(findTestObject(""Object Repository/Parte1/Iniciar_sesioncorrectamente/CPN22_23_24/android.widget.EditText - Apodo (1)""), ""edwin_1324"", 0)",,,,2023-09-27 13:44:16,2023-09-27 13:44:19,"3,040s",PASSED
hideKeyboard(),,,,2023-09-27 13:44:19,2023-09-27 13:44:22,"3,296s",PASSED
"tap(findTestObject(""Object Repository/Parte1/Iniciar_sesioncorrectamente/CPN22_23_24/android.widget.Button - Recuperar""), 0)",,,,2023-09-27 13:44:22,2023-09-27 13:44:23,"0,451s",PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-09-27 13:44:23,2023-09-27 13:44:28,"5,033s",PASSED
i = 1,,,,2023-09-27 13:44:28,2023-09-27 13:44:28,"0,000s",PASSED
while (i <= 5),,,,2023-09-27 13:44:28,2023-09-27 13:44:59,"31,253s",PASSED
"verifyElementVisible(findTestObject(""Parte1/Iniciar_sesioncorrectamente/CPN22_23_24/android.widget.TextView - Tu cuenta ha sido recuperada. Gracias por recuperar tu cuenta, ahora puedes chatear de forma privada y segura con tus contactos""), 0)",,,,2023-09-27 13:44:59,2023-09-27 13:45:03,"3,907s",PASSED
"tap(findTestObject(""Object Repository/Parte1/Iniciar_sesioncorrectamente/CPN22_23_24/android.widget.Button - Cerrar""), 0)",,,,2023-09-27 13:45:03,2023-09-27 13:45:03,"0,266s",PASSED
"tap(findTestObject(""Object Repository/Parte1/Iniciar_sesioncorrectamente/CPN22_23_24/android.widget.EditText - Pin de Acceso""), 0)",,,,2023-09-27 13:45:03,2023-09-27 13:45:07,"3,709s",PASSED
"setText(findTestObject(""Object Repository/Parte1/Iniciar_sesioncorrectamente/CPN22_23_24/android.widget.EditText - Pin de Acceso (1)""), ""0000"", 0)",,,,2023-09-27 13:45:07,2023-09-27 13:45:10,"3,233s",PASSED
"tap(findTestObject(""Object Repository/Parte1/Iniciar_sesioncorrectamente/CPN22_23_24/android.widget.EditText - Confirmar nuevo pin de acceso""), 0)",,,,2023-09-27 13:45:10,2023-09-27 13:45:11,"0,922s",PASSED
"setText(findTestObject(""Object Repository/Parte1/Iniciar_sesioncorrectamente/CPN22_23_24/android.widget.EditText - Confirmar nuevo pin de acceso (1)""), ""0000"", 0)",,,,2023-09-27 13:45:11,2023-09-27 13:45:14,"2,589s",PASSED
hideKeyboard(),,,,2023-09-27 13:45:14,2023-09-27 13:45:16,"2,076s",PASSED
"tap(findTestObject(""Object Repository/Parte1/Iniciar_sesioncorrectamente/CPN22_23_24/android.widget.Button - Recuperar cuenta""), 0)",,,,2023-09-27 13:45:16,2023-09-27 13:45:16,"0,271s",PASSED
"delay(6, STOP_ON_FAILURE)",,,,2023-09-27 13:45:16,2023-09-27 13:45:22,"6,008s",PASSED
,,,,,,,
Test Cases/Tutorial_nuevo,,,,2023-09-27 13:45:22,2023-09-27 13:45:30,"7,644s",PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-09-27 13:45:22,2023-09-27 13:45:27,"5,003s",PASSED
"tap(findTestObject(""Object Repository/Parte1/Tutorial_nuevo/android.widget.FrameLayout""), 0)",,,,2023-09-27 13:45:27,2023-09-27 13:45:30,"2,151s",PASSED
"waitForElementPresent(findTestObject(""Object Repository/Parte1/Tutorial_nuevo/android.widget.TextView - NapoleoN""), 0)",,,,2023-09-27 13:45:30,2023-09-27 13:45:30,"0,259s",PASSED
,,,,,,,
Test Cases/prueba lista,,,,2023-09-27 13:45:30,2023-09-27 13:45:54,"24,365s",PASSED
"delay(3, STOP_ON_FAILURE)",,,,2023-09-27 13:45:30,2023-09-27 13:45:33,"3,005s",PASSED
"tap(findTestObject(""prueba lista/android.widget.FrameLayout""), 0)",,,,2023-09-27 13:45:33,2023-09-27 13:45:34,"0,980s",PASSED
"lista = findTestObject(""Object Repository/prueba lista/androidx.recyclerview.widget.RecyclerView"")",,,,2023-09-27 13:45:34,2023-09-27 13:45:34,"0,039s",PASSED
startX = 0,,,,2023-09-27 13:45:34,2023-09-27 13:45:34,"0,001s",PASSED
startY = 0,,,,2023-09-27 13:45:34,2023-09-27 13:45:34,"0,000s",PASSED
endX = 0,,,,2023-09-27 13:45:34,2023-09-27 13:45:34,"0,001s",PASSED
endY = 155,,,,2023-09-27 13:45:34,2023-09-27 13:45:34,"0,000s",PASSED
"for ([i = 0, i < 3, (i++)])",,,,2023-09-27 13:45:34,2023-09-27 13:45:54,"20,096s",PASSED
